taxa1	taxa2	rhoCut
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Bacteria;Chloroflexi;JG30-KF-CM66	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Bacteria;Chloroflexi;SHA-26	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Bacteria;Chloroflexi;TK10	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Bacteria;Cyanobacteria;Cyanobacteriia	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Bacteria;Cyanobacteria;Sericytochromatia	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Bacteria;Gemmatimonadota;Longimicrobia	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Bacteria;Methylomirabilota;Methylomirabilia	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Bacteria;Myxococcota;bacteriap25	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Bacteria;Nitrospirota;Nitrospiria	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Bacteria;Verrucomicrobiota;Omnitrophia	-1
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria	Bacteria;Bacteria;Firmicutes;Bacilli	-1
Bacteria;Bacteria;Verrucomicrobiota;Omnitrophia	Bacteria;Bacteria;Bacteroidota;Kapabacteria	-1
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Archaea;Archaea;Crenarchaeota;Nitrososphaeria	-1
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Acidobacteriota;Subgroup 25	-1
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Actinobacteriota;Actinobacteria	-1
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Actinobacteriota;MB-A2-108	-1
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Chloroflexi;SHA-26	-1
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Chloroflexi;TK10	-1
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Cyanobacteria;Cyanobacteriia	-1
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Cyanobacteria;Sericytochromatia	-1
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group	-1
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Methylomirabilota;Methylomirabilia	-1
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Myxococcota;bacteriap25	-1
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Verrucomicrobiota;Omnitrophia	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Bacteroidota;Kapabacteria	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Bacteroidota;Kryptonia	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Chloroflexi;AD3	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Chloroflexi;Dehalococcoidia	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Dependentiae;Babeliae	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Desulfobacterota;Desulfuromonadia	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Firmicutes;Desulfitobacteriia	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Latescibacterota;Latescibacteria	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Myxococcota;Myxococcia	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Nitrospirota;4-29-1	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Patescibacteria;Berkelbacteria	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Planctomycetota;OM190	-1
Archaea;Archaea;Thermoplasmatota;Thermoplasmata	Bacteria;Bacteria;Bacteroidota;Kryptonia	-1
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Archaea;Archaea;Thermoplasmatota;Thermoplasmata	-1
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Acidobacteriota;FFCH5909	-1
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Acidobacteriota;Vicinamibacteria	-1
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Chloroflexi;JG30-KF-CM66	-1
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Chloroflexi;SHA-26	-1
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Chloroflexi;TK10	-1
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Gemmatimonadota;Gemmatimonadetes	-1
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Gemmatimonadota;Longimicrobia	-1
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group	-1
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Methylomirabilota;Methylomirabilia	-1
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Nitrospirota;Nitrospiria	-1
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Planctomycetota;Pla3 lineage	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 11	Bacteria;Bacteria;Bacteroidota;Ignavibacteria	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 11	Bacteria;Bacteria;Planctomycetota;BD7-11	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 20	Bacteria;Bacteria;Chloroflexi;Dehalococcoidia	-1
