nodeID,median,taxa,nodeName
Bacteria;Bacteria;Armatimonadota;Armatimonadia,8.89285714285712,Armatimonadota,Armatimonadia
Archaea;Archaea;Thermoplasmatota;Thermoplasmata,19.5892857142857,Thermoplasmatota,Thermoplasmata
Bacteria;Bacteria;Acidobacteriota;Subgroup 18,14.6428571428571,Acidobacteriota,Subgroup 18
Archaea;Archaea;Crenarchaeota;Nitrososphaeria,2877.76785714286,Crenarchaeota,Nitrososphaeria
Bacteria;Bacteria;Chloroflexi;TK10,6244.82142857143,Chloroflexi,TK10
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria,612.553571428572,Actinobacteriota,Rubrobacteria
Bacteria;Bacteria;Acidobacteriota;Thermoanaerobaculia,54.5446428571428,Acidobacteriota,Thermoanaerobaculia
Bacteria;Bacteria;Myxococcota;bacteriap25,862.482142857143,Myxococcota,bacteriap25
Bacteria;Bacteria;Elusimicrobiota;Lineage IIa,0,Elusimicrobiota,Lineage IIa
Bacteria;Bacteria;Methylomirabilota;Methylomirabilia,1691.76785714286,Methylomirabilota,Methylomirabilia
Bacteria;Bacteria;Myxococcota;Myxococcia,890.196428571428,Myxococcota,Myxococcia
Bacteria;Bacteria;Nitrospirota;Leptospirillia,0,Nitrospirota,Leptospirillia
