taxa1	taxa2
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria	Bacteria;Bacteria;Firmicutes;Bacilli
Bacteria;Bacteria;Verrucomicrobiota;Omnitrophia	Bacteria;Bacteria;Bacteroidota;Kapabacteria
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Archaea;Archaea;Crenarchaeota;Nitrososphaeria
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Acidobacteriota;Subgroup 25
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Actinobacteriota;Actinobacteria
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Actinobacteriota;MB-A2-108
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Chloroflexi;SHA-26
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Chloroflexi;TK10
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Cyanobacteria;Cyanobacteriia
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Cyanobacteria;Sericytochromatia
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Methylomirabilota;Methylomirabilia
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Myxococcota;bacteriap25
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae	Bacteria;Bacteria;Verrucomicrobiota;Omnitrophia
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Bacteroidota;Kapabacteria
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Bacteroidota;Kryptonia
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Chloroflexi;AD3
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Chloroflexi;Dehalococcoidia
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Dependentiae;Babeliae
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Desulfobacterota;Desulfuromonadia
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Firmicutes;Desulfitobacteriia
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Latescibacterota;Latescibacteria
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Myxococcota;Myxococcia
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Nitrospirota;4-29-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Patescibacteria;Berkelbacteria
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Planctomycetota;OM190
Archaea;Archaea;Thermoplasmatota;Thermoplasmata	Bacteria;Bacteria;Bacteroidota;Kryptonia
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Archaea;Archaea;Thermoplasmatota;Thermoplasmata
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Acidobacteriota;FFCH5909
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Acidobacteriota;Vicinamibacteria
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Chloroflexi;JG30-KF-CM66
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Chloroflexi;SHA-26
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Chloroflexi;TK10
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Gemmatimonadota;Gemmatimonadetes
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Gemmatimonadota;Longimicrobia
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group
