ID	drug_name	GDSC	y_id	x_id	n	beta	pval	fdr	nc_beta	nc_pval	nc_fdr	r2	target	ppi	skew	cancer_gene	UniprotID_inString
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	PLOD1	752	-0,195144519	0,033392241	0,191619552	-0,249452479	1,08891E-05	0,000301966	0,579682112	"BIRC2;BIRC3;XIAP"	-	-1,084352179	FALSE	Q02809
37	Crizotinib	GDSC1	"37;Crizotinib;GDSC1"	EMC2	375	-0,195271849	3,15613E-05	0,027648781	-0,206528063	1,1693E-06	0,000933489	0,484467073	"ALK;MET;ROS1"	-	-1,395270561	FALSE	Q15006
94	TGX221	GDSC1	"94;TGX221;GDSC1"	RHOC	209	-0,085494718	0,047295706	0,399291713	-0,159716072	5,81293E-08	8,42698E-06	0,531959313	PIK3CB	2	-1,284650311	FALSE	P08134
94	TGX221	GDSC1	"94;TGX221;GDSC1"	RTN4	337	-0,083921898	0,044342117	0,393222764	-0,153748636	1,22132E-08	2,164E-06	0,531959313	PIK3CB	2	-1,284650311	TRUE	Q9NQC3
1428	IAP_5620	GDSC1	"1428;IAP_5620;GDSC1"	TAPBP	776	-0,195824241	0,003206911	0,206710041	-0,286562571	1,98539E-08	9,0451E-06	0,407189898	"BIRC2;BIRC3;XIAP"	-	-2,242782735	FALSE	not found
2022	PF-06747775	GDSC2	"2022;PF-06747775;GDSC2"	VAPB	706	-0,196101103	0,058471604	0,627122716	-0,573237916	1,67713E-13	3,87124E-11	0,507920431	EGFR	3	-1,179659171	FALSE	O95292
1061	SB590885	GDSC2	"1061;SB590885;GDSC2"	YWHAB	907	-0,055119927	0,193130299	0,624442773	-0,185272465	5,51285E-05	0,000986783	0,59266103	BRAF	1	-1,013673138	FALSE	P31946
94	TGX221	GDSC1	"94;TGX221;GDSC1"	TGOLN2	340	-0,010809996	0,741615002	0,944704562	-0,137236135	1,5403E-06	9,56989E-05	0,531959313	PIK3CB	2	-1,284650311	FALSE	not found
1429	IAP_7638	GDSC1	"1429;IAP_7638;GDSC1"	TFRC	855	-0,196341393	0,001359946	0,059653615	-0,249502426	1,41832E-06	7,18092E-05	0,430331456	"BIRC2;BIRC3;XIAP"	-	-2,190857375	FALSE	P02786
1429	IAP_7638	GDSC1	"1429;IAP_7638;GDSC1"	SOD2	855	-0,196537348	0,000764001	0,047418583	-0,184486755	4,80315E-06	0,00016518	0,430331456	"BIRC2;BIRC3;XIAP"	-	-2,190857375	FALSE	not found
94	TGX221	GDSC1	"94;TGX221;GDSC1"	VCL	365	0,030980237	0,223709157	0,68977372	-0,079360258	1,57198E-05	0,000525898	0,531959313	PIK3CB	2	-1,284650311	FALSE	P18206
1373	Dabrafenib	GDSC2	"1373;Dabrafenib;GDSC2"	YWHAB	903	-0,083385649	0,188288694	0,708006533	-0,279723622	4,55627E-05	0,000672477	0,591585105	BRAF	1	-1,457742709	FALSE	P31946
1373	Dabrafenib	GDSC2	"1373;Dabrafenib;GDSC2"	PIP4P2	157	-0,197159507	0,341236525	0,823262944	-1,179733566	3,56056E-06	7,73791E-05	0,591585105	BRAF	-	-1,457742709	FALSE	Q8N4L2
1061	SB590885	GDSC2	"1061;SB590885;GDSC2"	GCC2	675	-0,197662951	0,002152143	0,08763764	-0,273330498	0,000308001	0,003836827	0,59266103	BRAF	3	-1,013673138	FALSE	Q8IWJ2
1936	Savolitinib	GDSC2	"1936;Savolitinib;GDSC2"	HSPA14	766	-0,197698615	0,00493875	0,06714122	-0,201701981	0,001227788	0,039910347	0,624177437	MET	3	-1,306810675	FALSE	Q0VDF9
1377	Afatinib	GDSC1	"1377;Afatinib;GDSC1"	LYN	519	-0,197742535	0,046848656	0,725863496	-0,385359881	1,22593E-05	0,00011315	0,643925693	"EGFR;ERBB2"	-	-1,662421068	FALSE	P07948
1061	SB590885	GDSC2	"1061;SB590885;GDSC2"	POU2F1	389	-0,197810708	0,002547835	0,09736223	-0,185140998	0,007317769	0,040842162	0,59266103	BRAF	3	-1,013673138	FALSE	P14859
1032	Afatinib	GDSC1	"1032;Afatinib;GDSC1"	THRAP3	877	-0,197851189	0,149648228	0,833394503	-0,603025836	7,99754E-06	6,07015E-05	0,564903962	"EGFR;ERBB2"	-	-1,532922624	TRUE	Q9Y2W1
1377	Afatinib	GDSC1	"1377;Afatinib;GDSC1"	MRPL45	850	-0,197895099	0,082583627	0,774663056	-0,747268479	6,0919E-11	3,36224E-09	0,643925693	"EGFR;ERBB2"	-	-1,662421068	FALSE	Q9BRJ2
1371	PLX-4720	GDSC1	"1371;PLX-4720;GDSC1"	YWHAZ	860	-0,11327719	0,007158461	0,322187379	-0,201535048	6,94793E-07	2,87655E-05	0,499462315	BRAF	1	-1,228927954	FALSE	not found
1032	Afatinib	GDSC1	"1032;Afatinib;GDSC1"	SPOUT1	818	-0,198061757	0,013536122	0,681701696	-0,414317153	7,77628E-08	9,97986E-07	0,564903962	"EGFR;ERBB2"	-	-1,532922624	FALSE	Q5T280
1429	IAP_7638	GDSC1	"1429;IAP_7638;GDSC1"	EMC1	849	-0,198869184	0,032712454	0,24910547	-0,461154216	5,22739E-08	6,21377E-06	0,430331456	"BIRC2;BIRC3;XIAP"	-	-2,190857375	FALSE	Q8N766
1429	IAP_7638	GDSC1	"1429;IAP_7638;GDSC1"	ABCB1	110	-0,198979492	0,002097521	0,074337598	0,030005982	0,670697017	0,827288808	0,430331456	"BIRC2;BIRC3;XIAP"	-	-2,190857375	TRUE	P08183
1373	Dabrafenib	GDSC1	"1373;Dabrafenib;GDSC1"	MAP1S	631	-0,19901033	0,052247149	0,592569455	-0,4343199	4,87117E-05	0,000576333	0,495096161	BRAF	4	-1,809260826	FALSE	not found
1373	Dabrafenib	GDSC2	"1373;Dabrafenib;GDSC2"	USO1	902	-0,199116344	0,053342504	0,529137278	-0,393656492	3,2404E-05	0,000509601	0,591585105	BRAF	3	-1,457742709	FALSE	O60763
1377	Afatinib	GDSC1	"1377;Afatinib;GDSC1"	DDX52	784	-0,199215575	0,019923482	0,640364147	-0,508866232	1,12003E-08	2,75669E-07	0,643925693	"EGFR;ERBB2"	-	-1,662421068	FALSE	Q9Y2R4
2022	PF-06747775	GDSC2	"2022;PF-06747775;GDSC2"	EPB41L1	362	-0,199265216	0,041784801	0,605775177	-0,412690221	1,30246E-07	5,27843E-06	0,507920431	EGFR	3	-1,179659171	FALSE	Q9H4G0
1032	Afatinib	GDSC1	"1032;Afatinib;GDSC1"	MRPL45	877	-0,199460037	0,045683242	0,75749606	-0,690132703	1,82105E-11	6,96625E-10	0,564903962	"EGFR;ERBB2"	-	-1,532922624	FALSE	Q9BRJ2
94	TGX221	GDSC1	"94;TGX221;GDSC1"	VIM	354	-0,017535437	0,252519613	0,712801578	-0,026814451	3,31443E-05	0,000932719	0,531959313	PIK3CB	2	-1,284650311	FALSE	not found
2022	PF-06747775	GDSC2	"2022;PF-06747775;GDSC2"	PDXDC1	597	-0,199620009	0,011384091	0,444398071	-0,296980085	1,85905E-05	0,000320444	0,507920431	EGFR	-	-1,179659171	FALSE	not found
1428	IAP_5620	GDSC1	"1428;IAP_5620;GDSC1"	TFRC	856	-0,199682616	0,004549979	0,211275841	-0,272256732	4,17028E-06	0,000330419	0,407189898	"BIRC2;BIRC3;XIAP"	-	-2,242782735	FALSE	P02786
1373	Dabrafenib	GDSC2	"1373;Dabrafenib;GDSC2"	CEP170	671	-0,199984928	0,029644146	0,453049147	-0,359045001	2,70482E-05	0,000432772	0,591585105	BRAF	3	-1,457742709	FALSE	Q5SW79
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	HNRNPA3	907	-0,2002184	0,102689677	0,582596671	-0,452390494	1,80721E-05	0,000580723	0,750148631	BCL2	3	-1,562840054	FALSE	P51991
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	ATL3	814	-0,200293845	0,048662145	0,235257785	-0,349062061	5,31285E-08	5,80482E-06	0,579682112	"BIRC2;BIRC3;XIAP"	-	-1,084352179	FALSE	Q6DD88
2296	GDC-0879	GDSC2	"2296;GDC-0879;GDSC2"	YWHAZ	562	-0,092727459	0,016401752	0,415256864	-0,161168072	6,58911E-06	0,00031257	0,515337046	BRAF	1	-1,312485626	FALSE	not found
1936	Savolitinib	GDSC2	"1936;Savolitinib;GDSC2"	SAE1	882	-0,200369484	4,82628E-05	0,005442863	-0,146736112	0,00067848	0,029756197	0,624177437	MET	3	-1,306810675	FALSE	Q9UBE0
2022	PF-06747775	GDSC2	"2022;PF-06747775;GDSC2"	CCDC6	605	-0,200444217	0,021384763	0,487214135	-0,358744615	7,05084E-06	0,000144529	0,507920431	EGFR	3	-1,179659171	FALSE	Q16204
1049	PD173074	GDSC1	"1049;PD173074;GDSC1"	YBX1	879	-0,200558475	0,000919409	0,120114269	-0,262781001	1,78953E-06	0,000949573	0,404647142	"FGFR1;FGFR2;FGFR3"	-	-1,449051771	FALSE	P67809
1497	AZD4547	GDSC1	"1497;AZD4547;GDSC1"	FKBP10	526	-0,200716383	0,000971412	0,245675722	-0,218518607	9,71056E-08	6,99881E-05	0,510779481	"FGFR1;FGFR2;FGFR3"	-	-2,168172413	FALSE	Q96AY3
1936	Savolitinib	GDSC2	"1936;Savolitinib;GDSC2"	UBL5	802	-0,201256732	0,004456496	0,063307448	-0,122441123	0,066171963	0,335227011	0,624177437	MET	3	-1,306810675	FALSE	Q9BZL1
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	ERGIC3	746	-0,201284777	0,075139431	0,294255708	-0,40994978	5,19221E-05	0,000961527	0,579682112	"BIRC2;BIRC3;XIAP"	-	-1,084352179	FALSE	Q9Y282
37	Crizotinib	GDSC1	"37;Crizotinib;GDSC1"	ASMTL	194	-0,201366984	0,001233886	0,059519088	-0,029388034	0,604109893	0,84437887	0,484467073	"ALK;MET;ROS1"	-	-1,395270561	FALSE	O95671
1429	IAP_7638	GDSC1	"1429;IAP_7638;GDSC1"	TMX1	855	-0,201525394	0,056352553	0,324744199	-0,330547867	8,74924E-06	0,000267267	0,430331456	"BIRC2;BIRC3;XIAP"	-	-2,190857375	FALSE	Q9H3N1
1373	Dabrafenib	GDSC2	"1373;Dabrafenib;GDSC2"	TSG101	824	-0,201683856	0,012483808	0,333913479	-0,414865001	6,37778E-06	0,000128019	0,591585105	BRAF	3	-1,457742709	FALSE	Q99816
94	TGX221	GDSC1	"94;TGX221;GDSC1"	ZYX	311	-0,000919385	0,967966369	0,993510215	-0,077919564	1,00664E-06	7,44251E-05	0,531959313	PIK3CB	2	-1,284650311	FALSE	Q15942
1032	Afatinib	GDSC1	"1032;Afatinib;GDSC1"	MRPL10	688	-0,201903891	0,016953311	0,718410482	-0,421342548	9,53736E-06	7,07236E-05	0,564903962	"EGFR;ERBB2"	-	-1,532922624	FALSE	Q7Z7H8
1377	Afatinib	GDSC1	"1377;Afatinib;GDSC1"	SEC16A	845	-0,202275549	0,010631143	0,49632034	-0,435688824	1,47194E-10	7,37862E-09	0,643925693	"EGFR;ERBB2"	-	-1,662421068	FALSE	O15027
211	TL-2-105	GDSC1	"211;TL-2-105;GDSC1"	ADD1	800	0,190757245	1,36913E-05	0,024936397	0,097844116	0,017400027	0,223542461	0,621470459			-1,257524798	FALSE	not found
1936	Savolitinib	GDSC2	"1936;Savolitinib;GDSC2"	EDC3	771	-0,202369573	0,003390824	0,054628851	-0,211608812	0,000658904	0,029128826	0,624177437	MET	3	-1,306810675	FALSE	Q96F86
